,city,10,20,30
506,Армавир,3.84,4.74,5.08
507,Новокубанск,3.84,4.74,5.08
508,Нестеров,3.8,4.72,5.05
509,Гусев,3.8,4.72,5.05
510,Махачкала,4.18,4.71,5.05
511,Каспийск,4.18,4.71,5.05
512,Муравленко,3.88,4.7,5.04
513,Пучеж,3.78,4.69,5.03
514,Чкаловск,3.78,4.69,5.03
515,Почеп,3.75,4.69,5.03
516,Избербаш,4.32,4.69,5.02
517,Сасово,3.75,4.69,5.02
518,Змеиногорск,3.77,4.68,5.02
519,Чита,3.81,4.67,5.0
520,Шумерля,3.73,4.66,5.0
521,Тогучин,3.73,4.66,5.0
522,Козловка,3.74,4.66,5.0
523,Звенигово,3.74,4.66,5.0
524,Волжск,3.74,4.66,5.0
525,Пыталово,3.74,4.65,4.99
526,Барнаул,3.74,4.65,4.98
527,Новоалтайск,3.74,4.65,4.98
528,Тавда,3.71,4.65,4.98
529,Назарово,3.72,4.65,4.98
530,Нолинск,3.7,4.64,4.97
531,Мглин,3.7,4.63,4.97
532,Арамиль,3.66,4.63,4.97
533,Сысерть,3.66,4.63,4.97
534,Алупка,4.29,4.62,4.96
535,Севастополь,4.29,4.62,4.96
536,Крымск,3.7,4.62,4.95
537,Абинск,3.7,4.62,4.95
538,Темников,3.66,4.59,4.93
539,Тобольск,3.69,4.58,4.91
540,Топки,3.67,4.57,4.9
541,Заринск,3.67,4.57,4.9
542,Курганинск,3.64,4.57,4.89
543,Агрыз,3.64,4.56,4.89
544,Тайга,3.65,4.55,4.88
545,Трубчевск,3.58,4.54,4.87
546,Анива,3.8,4.53,4.86
547,Корсаков,3.8,4.53,4.86
548,Буденновск,3.69,4.53,4.86
549,Сорск,3.75,4.53,4.85
550,Краснодар,3.61,4.52,4.85
551,Выборг,3.75,4.49,4.81
552,Высоцк,3.75,4.49,4.81
553,Приморск,3.75,4.49,4.81
554,Бирск,3.54,4.48,4.8
555,Цивильск,3.56,4.47,4.79
556,Новочебоксарск,3.56,4.47,4.79
557,Мариинский Посад,3.56,4.47,4.79
558,Чебоксары,3.56,4.47,4.79
559,Первомайск,3.51,4.47,4.79
560,Ачинск,3.57,4.47,4.79
561,Белогорск,3.71,4.46,4.78
562,Симферополь,3.71,4.46,4.78
563,Миасс,3.54,4.45,4.77
564,Яранск,3.49,4.43,4.75
565,Череповец,3.57,4.42,4.74
566,Вятские Поляны,3.51,4.42,4.73
567,Мосальск,3.48,4.41,4.73
568,Юхнов,3.48,4.41,4.73
569,Мещовск,3.48,4.41,4.73
570,Жуковка,3.47,4.41,4.72
571,Усть-Лабинск,3.46,4.4,4.72
572,Белореченск,3.46,4.4,4.72
573,Шахунья,3.46,4.4,4.72
574,Полысаево,3.51,4.4,4.71
575,Белово,3.51,4.4,4.71
576,Гурьевск,3.51,4.4,4.71
577,Ленинск-Кузнецкий,3.51,4.4,4.71
578,Певек,3.84,4.39,4.71
579,Нефтекумск,3.53,4.38,4.7
580,Заполярный,3.59,4.38,4.7
581,Питкяранта,3.69,4.38,4.69
582,Учалы,3.46,4.38,4.69
